bitstring,probability,selected,expected_return,risk,score,energy,assets
001011,0.037356916601050096,3,0.28700000000000003,0.3947606869990982,0.06882960000000007,-0.06882960000000007,"MSFT, JNJ, NEE"
011010,0.03727810446745948,3,0.30000000000000004,0.40822052863617725,0.06669840000000005,-0.06669840000000005,"IBM, MSFT, JNJ"
010011,0.03670142637060728,3,0.247,0.3723761539089204,0.05287040000000004,-0.05287040000000004,"IBM, JNJ, NEE"
011001,0.03661244450387035,3,0.312,0.43211572524035735,0.05058640000000003,-0.05058640000000003,"IBM, MSFT, NEE"
101010,0.0358827584650431,3,0.415,0.5226892001945325,0.0325144,-0.0325144,"NVDA, MSFT, JNJ"
100011,0.03559751676910676,3,0.36200000000000004,0.49246725779487105,0.022466400000000053,-0.022466400000000053,"NVDA, JNJ, NEE"
110010,0.035437485292718,3,0.375,0.5041785398050972,0.019125600000000076,-0.019125600000000076,"NVDA, IBM, JNJ"
101001,0.03503079520533947,3,0.427,0.5435476060107339,0.013378400000000013,-0.013378400000000013,"NVDA, MSFT, NEE"
111000,0.034807934913840315,3,0.44,0.554764815034263,0.009130399999999983,-0.009130399999999983,"NVDA, IBM, MSFT"
110001,0.03464165140567914,3,0.387,0.5253608283836928,0.0005944000000000504,-0.0005944000000000504,"NVDA, IBM, NEE"
001110,0.031474855377533084,3,0.385,0.5902846770838627,-0.10281039999999991,0.10281039999999991,"MSFT, TSLA, JNJ"
000111,0.031353043443904785,3,0.332,0.562419772056424,-0.11084239999999995,0.11084239999999995,"TSLA, JNJ, NEE"
